carat,cut,color,clarity,depth,table,price,x
0.9162907318741551,3,20,5,58.8,58.0,9.752897193903626,7.51
0.33647223662121295,4,16,5,61.9,55.0,6.4967749901858625,4.74
0.4762341789963716,1,20,3,63.0,64.2,7.586803535162581,5.29
0.6931471805599453,2,17,3,64.0,54.0,8.463792414689122,6.28
0.5423242908253617,4,20,4,60.5,56.0,8.23217423638394,5.82
0.7030975114131134,0,21,3,66.6,57.0,8.585038738311304,6.09
0.3435897043900769,4,20,6,60.3,56.0,7.16703787691222,4.8
0.262364264467491,4,22,4,62.0,54.0,6.744059186311348,4.34
0.2468600779315258,4,19,7,61.3,57.0,6.478509642208569,4.25
0.27002713721306015,3,19,6,60.7,58.0,6.705639094860003,4.37
0.4252677354043441,4,20,3,61.3,55.0,7.452402451223638,5.22
0.2851789422336624,4,21,3,61.0,57.0,6.834108738813838,4.46
0.41871033485818504,2,18,3,63.5,58.0,7.237059026124737,5.08
0.9162907318741551,1,17,4,63.3,58.0,9.09504174761272,7.19
0.6931471805599453,2,17,2,58.5,61.0,8.444622498581403,6.51
1.0681530811834012,3,19,1,61.9,58.0,9.109303827798412,7.9
0.9202827531436926,4,17,2,61.2,60.0,9.035629778183564,7.39
0.2776317365982795,3,17,2,62.9,58.0,6.318968113746434,4.35
0.6931471805599453,3,19,4,62.9,60.0,8.852235835227855,6.36
0.3506568716131694,3,20,5,60.3,59.0,7.108244139731541,4.86
0.7929925155296614,2,17,2,62.8,57.0,8.584290934948731,6.73
0.4637340162321401,2,19,2,59.3,58.0,7.349873704738337,5.45
0.5596157879354227,0,20,4,55.8,70.0,7.958576903813898,6.09
1.1019400787607843,3,18,3,62.8,58.0,9.49874718174242,7.99
0.5709795465857378,3,20,3,62.4,59.0,8.012680929706839,5.85
0.4762341789963716,4,19,5,62.4,53.8,7.754481547470383,5.42
0.8544153281560676,4,19,7,62.2,57.0,9.589940513889292,7.07
0.6981347220709844,4,21,5,62.7,56.0,9.183585634667363,6.42
0.262364264467491,1,19,3,58.5,64.0,6.47543271670409,4.42
0.6931471805599453,2,22,2,60.1,60.0,8.454892165218858,6.47
0.4054651081081644,0,21,1,68.6,56.0,6.77078942390898,4.87
0.3506568716131694,4,19,5,62.1,57.0,7.00669522683704,4.8
0.5709795465857378,4,18,2,62.2,56.0,7.930925372483388,5.83
1.1939224684724346,3,17,1,61.3,58.0,9.310366686043308,8.53
0.4252677354043441,2,19,4,60.9,56.0,7.400620577371135,5.24
0.7975071958841881,4,19,4,62.5,57.0,9.060563446657955,6.82
0.31481073984003355,4,17,4,60.8,56.0,6.403574197934815,4.67
1.0367368849500223,3,17,4,61.4,60.0,9.542517684314515,7.83
0.5538851132264376,2,21,3,61.8,58.0,8.064950891749143,5.79
0.49469624183610705,2,17,2,63.0,57.0,7.237778191923443,5.47
0.2776317365982795,4,20,6,60.3,57.0,6.816735880594968,4.42
0.262364264467491,3,16,3,60.6,59.0,6.161207321695077,4.38
0.5128236264286639,3,19,3,61.0,57.0,7.62608275807238,5.68
0.35767444427181594,4,22,2,61.5,56.0,6.7226297948554485,4.82
0.6981347220709844,2,20,4,62.8,58.0,8.85366542803745,6.32
0.9321640810304452,2,16,2,61.2,59.0,8.916506080039204,7.41
0.6981347220709844,2,21,3,63.3,58.0,8.78216942633238,6.38
0.7884573603642702,3,19,4,62.5,59.0,8.994296557777195,6.72
0.262364264467491,4,21,6,62.5,56.0,6.760414691083428,4.28
0.9400072584914712,4,17,2,62.5,54.0,9.18901458526143,7.45
0.2776317365982795,4,19,5,61.1,55.0,6.594413459749778,4.42
0.4252677354043441,4,21,3,61.9,55.0,7.503289630675082,5.22
0.5481214085096876,4,21,2,62.2,56.0,7.934513463882263,5.74
0.33647223662121295,2,20,4,60.4,58.0,6.767343125265392,4.75
0.44468582126144574,4,22,2,61.2,57.0,7.417580402414544,5.37
0.2776317365982795,3,18,6,62.9,58.0,6.842683282238422,4.37
0.3435897043900769,3,21,4,59.9,58.0,6.984716320118266,4.83
0.3220834991691133,4,19,4,62.1,56.0,6.947937068614969,4.68
0.9282193027394289,3,20,2,62.0,56.0,9.338821533624722,7.47
0.7030975114131134,3,18,1,61.1,61.0,8.322151070212902,6.51
1.2267122912954254,1,17,1,57.7,61.0,9.793895875906033,8.87
0.5306282510621704,2,21,3,58.8,56.0,7.813591552952433,5.79
0.7178397931503169,3,18,1,63.0,59.0,8.351138607086154,6.48
0.2151113796169455,4,20,6,60.8,55.0,6.520621127558696,4.03
0.5306282510621704,3,19,3,58.1,55.0,7.885329239273191,5.83
0.6575200029167941,2,22,1,62.6,57.0,8.346404870435956,6.2
1.1151415906193203,3,17,2,61.2,57.0,9.670167394770358,8.24
0.2776317365982795,3,18,6,61.4,58.0,6.842683282238422,4.42
0.412109650826833,3,21,3,61.0,60.0,7.4127640174265625,5.12
0.7466879474879752,3,19,2,60.9,59.0,8.318010277546872,6.69
0.6418538861723948,3,18,2,62.8,62.0,8.127995055771946,6.09
0.5306282510621704,4,17,1,61.5,53.0,7.440146680662688,5.74
0.7839015438284094,2,22,1,61.1,58.0,8.725507328484445,6.84
0.262364264467491,3,21,2,62.5,59.0,6.267200548541362,4.28
0.262364264467491,4,22,3,60.6,58.0,6.508769136971682,4.31
0.43178241642553783,4,16,2,62.5,54.0,6.872128101338986,5.22
0.4054651081081644,0,18,4,66.6,58.0,7.034387929915503,4.95
0.7514160886839212,3,19,1,61.2,58.0,8.315077007294104,6.67
1.1019400787607843,0,22,1,66.9,57.0,9.685766771390307,7.87
0.262364264467491,3,20,5,62.4,58.0,6.852242569051878,4.28
0.9162907318741551,3,20,4,62.2,60.0,9.671050954310326,7.3
0.5364933705145685,3,21,2,60.1,60.0,7.845024417241484,5.78
0.4382549309311553,4,19,4,61.5,57.0,7.475339236566737,5.23
0.41871033485818504,1,17,2,63.6,60.0,6.97914527506881,5.1
0.7884573603642702,3,22,3,61.1,58.0,9.226410552153677,6.85
0.5481214085096876,4,21,2,62.8,57.0,7.911690520708339,5.73
0.35767444427181594,4,17,6,62.2,57.0,6.876264611890766,4.84
0.7419373447293773,4,18,2,62.5,57.0,8.469052816088302,6.6
0.5653138090500605,4,18,2,61.4,55.0,8.02322468471667,5.82
0.5364933705145685,2,19,4,64.0,56.0,7.875119281040293,5.65
0.708035793053696,1,16,0,58.2,64.0,7.7057128238944275,6.64
0.7030975114131134,4,16,1,60.3,54.0,7.965545573129992,6.53
0.3001045924503381,4,19,6,61.0,56.0,6.9363427358340495,4.56
0.29266961396282,1,18,2,63.7,57.0,6.19644412779452,4.44
0.5306282510621704,0,19,3,64.9,57.0,7.8160138391590275,5.55
0.4054651081081644,4,20,3,60.9,57.0,7.4673710669175595,5.14
0.5538851132264376,3,21,4,62.8,59.0,8.119100837637486,5.76
0.7466879474879752,3,19,2,60.1,60.0,8.572060092857077,6.73
0.27002713721306015,3,18,7,60.8,59.0,6.856461984594587,4.39
0.33647223662121295,4,18,6,62.0,54.0,6.925595197110468,4.72
0.412109650826833,4,21,4,61.5,56.0,7.472500744737558,5.11
1.1019400787607843,1,19,1,63.6,59.0,9.678968055041988,8.0
0.9202827531436926,4,17,3,61.6,57.0,9.143452426434552,7.34
0.6471032420585384,0,22,3,64.5,55.0,8.469262657658687,6.24
0.4054651081081644,3,22,3,62.2,60.0,7.266827347520591,5.15
0.31481073984003355,3,19,4,61.5,58.0,6.86484777797086,4.6
0.6981347220709844,2,19,4,58.8,58.0,8.821437352166997,6.52
0.5596157879354227,4,16,2,61.5,56.0,7.955425088912672,5.83
0.4252677354043441,3,21,3,59.6,58.0,7.631431664576906,5.36
0.636576829071551,4,22,1,60.8,56.0,8.341171747170762,6.22
0.6418538861723948,1,17,6,63.6,58.0,8.32239411311117,6.14
0.3920420877760237,3,18,4,60.7,61.0,7.147559271189454,5.04
0.6418538861723948,2,19,1,61.1,55.0,8.144969417087875,6.21
0.6418538861723948,3,18,0,58.8,62.0,7.3777589082278725,6.32
0.44468582126144574,2,22,2,62.2,63.0,7.229113877793302,5.23
0.41871033485818504,4,19,3,61.9,55.0,7.369600720526409,5.15
0.5538851132264376,4,21,5,62.2,57.0,8.314587291319576,5.78
0.5933268452777344,3,22,4,62.3,58.0,8.36287583103188,5.94
0.5364933705145685,4,20,2,62.9,57.0,7.775695749915245,5.71
0.7884573603642702,3,16,1,59.6,62.0,8.281977058867758,6.95
0.262364264467491,3,20,3,61.4,60.0,6.655440350367647,4.34
0.7839015438284094,2,21,2,58.0,63.0,8.692322277628687,6.9
0.29266961396282,3,17,2,60.0,58.0,6.380122536899765,4.55
0.7975071958841881,4,22,3,61.7,56.0,9.262837940933936,6.89
0.37156355643248307,1,21,2,63.9,57.0,6.96979066990159,4.86
0.6981347220709844,3,18,3,61.9,62.0,8.425077902508432,6.45
0.8671004876833833,1,16,1,63.7,58.0,8.433594167539924,7.06
0.6523251860396903,4,20,3,61.2,56.0,8.666647144584575,6.25
0.6471032420585384,3,21,4,62.7,59.0,8.511175119090675,6.19
0.8109302162163288,2,21,1,60.8,55.0,8.711772645605693,6.94
0.3435897043900769,4,17,3,61.5,55.0,6.617402977974478,4.8
0.3435897043900769,4,17,5,60.7,57.0,6.796823718274855,4.81
1.1346227261911428,3,16,1,61.0,58.0,9.437874271591685,8.29
0.4054651081081644,4,21,2,60.6,57.0,7.1316985104669115,5.19
0.262364264467491,3,22,3,61.0,58.0,6.815639990074331,4.34
0.2851789422336624,3,19,5,61.0,58.0,6.6240652277998935,4.44
0.8415671856782186,3,17,4,62.4,58.0,8.459564078579602,7.01
0.9439058989071284,4,17,1,62.8,57.0,8.90734159541251,7.39
0.20701416938432615,2,22,5,61.9,60.0,6.226536669287466,3.9
0.7371640659767197,3,20,4,60.9,58.0,8.994420665751292,6.63
0.6471032420585384,1,19,1,63.6,59.0,8.096512917501594,6.15
0.8109302162163288,4,19,1,61.5,56.0,8.748463629942055,7.0
0.2546422183735807,2,22,5,59.1,61.0,6.398594934535208,4.33
0.6981347220709844,2,22,3,60.6,56.0,8.85395110151461,6.45
0.44468582126144574,3,19,2,60.2,59.0,7.273786317844895,5.36
0.4762341789963716,4,19,6,62.7,58.0,7.841885928984623,5.39
0.5364933705145685,1,17,5,63.1,58.0,7.795234929002173,5.64
0.3001045924503381,4,22,6,61.5,57.0,7.0630481633881725,4.52
0.29266961396282,4,19,7,61.3,56.0,6.882437470997847,4.52
1.1019400787607843,3,17,2,60.5,58.0,9.459541457609681,8.2
0.9477893989335261,3,16,2,59.8,58.0,8.943114308091785,7.61
0.7030975114131134,4,21,3,60.7,56.0,8.81060879571578,6.58
0.262364264467491,2,19,2,59.5,63.0,6.354370040797351,4.32
0.5364933705145685,4,20,3,62.1,54.0,7.930565854233965,5.68
0.6981347220709844,2,17,2,64.2,55.0,8.406485069431817,6.28
0.7030975114131134,4,19,3,60.5,57.0,8.757311846936409,6.51
0.33647223662121295,3,20,4,62.5,59.0,6.957497370876951,4.69
0.2776317365982795,3,20,6,60.7,58.0,7.119635638017636,4.4
0.5538851132264376,1,22,6,59.2,62.6,8.360539381370861,5.85
0.5423242908253617,4,20,4,61.3,56.0,8.23217423638394,5.74
0.5596157879354227,4,18,2,61.9,55.0,8.010359588919783,5.82
0.9202827531436926,3,21,2,58.3,59.0,9.445017159104065,7.52
0.4252677354043441,1,21,3,58.6,62.0,7.260522598089852,5.26
0.8109302162163288,3,17,1,60.5,58.0,8.550047528287184,7.0
0.412109650826833,2,21,4,62.0,61.0,7.400620577371135,5.11
0.2776317365982795,4,17,5,62.2,54.5,6.342121418721152,4.38
0.4382549309311553,4,18,7,62.3,54.0,7.552762084214147,5.25
0.7030975114131134,4,21,4,62.6,56.0,9.05321861620397,6.45
0.7884573603642702,4,20,3,61.2,53.0,9.058237593766226,6.88
0.6931471805599453,3,21,6,60.3,54.0,9.2237500588861,6.59
0.262364264467491,4,18,2,62.0,58.0,6.0112671744041615,4.25
0.4382549309311553,3,19,1,60.3,58.0,7.079184394609668,5.35
0.2776317365982795,4,22,2,62.6,55.0,6.6293632534374485,4.39
0.8153648132841945,3,19,3,60.1,61.0,9.001346243766392,7.04
0.7975071958841881,4,20,1,62.5,56.0,8.782476268924539,6.85
0.6312717768418579,4,17,2,63.2,56.0,8.09101504171053,6.04
0.41871033485818504,4,21,3,60.9,57.0,7.432483807917119,5.21
0.41871033485818504,4,19,2,62.2,54.0,7.210079628170788,5.18
0.6418538861723948,3,20,1,60.5,57.0,8.217438537730187,6.23
0.2776317365982795,4,22,4,61.1,56.0,6.56244409369372,4.44
0.412109650826833,2,22,3,63.7,55.0,7.3777589082278725,5.05
0.6097655716208943,3,20,1,62.3,59.0,7.9599745280805365,6.06
0.9400072584914712,4,18,1,62.3,55.0,8.812396905266864,7.39
0.2151113796169455,4,20,5,62.6,57.0,6.315358001522335,3.93
0.3001045924503381,3,19,5,62.2,58.0,6.932447891572509,4.54
0.3074846997479606,3,22,1,60.0,58.0,6.536691597591305,4.62
0.33647223662121295,3,19,7,59.8,58.0,7.195937226475569,4.79
0.9242589015233319,2,16,2,62.3,57.0,8.887376485379763,7.32
0.22314355131420976,2,17,5,62.1,56.0,6.2166061010848646,4.03
0.712949807856125,2,20,4,61.6,60.0,8.99850761180784,6.49
0.5481214085096876,4,20,4,61.2,56.0,7.950149887652018,5.89
0.7466879474879752,2,18,1,61.5,59.0,8.301521654940728,6.56
0.33647223662121295,3,21,2,62.0,61.0,6.78332520060396,4.71
0.23111172096338664,4,21,5,61.3,57.0,6.598509028614515,4.12
1.1314021114911006,0,19,0,67.4,59.0,8.794521851788527,7.82
0.3074846997479606,3,19,2,61.8,59.0,6.2878585601617845,4.55
0.4510756193602166,2,20,3,62.0,54.0,7.401231264413015,5.31
0.5822156198526637,4,18,7,61.3,56.0,8.305731144875866,5.96
0.29266961396282,4,21,2,62.9,56.0,6.641182169740591,4.48
0.6418538861723948,3,18,3,60.0,59.0,8.196987927258897,6.23
0.6418538861723948,2,20,2,60.4,60.0,8.281723990411392,6.23
0.2776317365982795,4,22,1,59.8,57.0,6.169610732491456,4.4
0.27002713721306015,1,22,1,63.6,54.0,6.386879319362645,4.34
0.3001045924503381,3,19,4,60.7,61.0,6.810142450115136,4.58
0.5423242908253617,4,21,1,61.9,55.0,7.782807262839695,5.76
0.5481214085096876,4,21,2,60.1,56.0,7.8868329989550565,5.91
0.262364264467491,4,18,2,61.9,57.0,6.111467339502679,4.3
0.5596157879354227,4,21,1,62.6,55.0,8.048788283534199,5.72
0.6981347220709844,0,19,1,67.1,59.0,7.987184748233473,6.27
0.6981347220709844,1,17,3,63.6,57.0,8.19450550976564,6.3
0.4382549309311553,2,21,5,60.6,56.0,7.824046010856292,5.33
0.262364264467491,4,21,3,62.0,55.0,6.490723534502507,4.25
1.095273387402595,3,19,1,59.1,61.0,9.348971240145405,8.08
0.4054651081081644,4,22,5,61.8,54.1,7.878534196140362,5.1
0.31481073984003355,4,19,3,62.2,57.0,6.726233402358747,4.64
0.2776317365982795,4,20,6,61.1,56.0,6.967909201801884,4.45
0.5423242908253617,4,20,2,61.0,55.0,7.979681302387741,5.78
0.7371640659767197,3,17,3,60.1,59.0,8.576781982827894,6.74
0.6418538861723948,2,19,3,58.8,61.0,8.38958706681109,6.28
0.262364264467491,3,18,2,60.8,61.0,6.293419278846481,4.3
0.7654678421395714,3,18,1,61.6,60.0,8.482808764554406,6.75
0.2776317365982795,3,22,2,61.4,58.0,6.6293632534374485,4.42
0.4054651081081644,3,18,2,62.9,58.0,7.067319848653476,5.04
0.33647223662121295,3,21,2,62.0,55.0,6.852242569051878,4.74
0.4054651081081644,4,19,6,62.1,53.5,7.531552381407289,5.08
0.6043159668533294,3,21,2,60.7,58.0,8.155649270366002,6.06
0.7884573603642702,3,22,1,60.2,60.0,8.343791731996841,6.94
0.33647223662121295,2,21,2,61.4,58.0,6.5337888379333435,4.77
0.2851789422336624,4,18,4,61.9,56.0,6.363028103540465,4.44
0.43178241642553783,1,19,3,56.9,62.0,7.401231264413015,5.42
0.6981347220709844,0,21,2,56.8,61.0,8.55371796609861,6.59
0.6981347220709844,0,20,2,66.1,60.0,8.0702808933939,6.15
0.27002713721306015,4,18,5,62.4,57.0,6.439350371100098,4.32
0.33647223662121295,2,21,2,62.9,58.0,6.56244409369372,4.71
0.3293037471426004,4,20,5,61.3,56.0,6.8966943316227125,4.73
0.27002713721306015,4,19,5,61.4,56.0,6.811244378601294,4.38
0.27002713721306015,4,18,2,61.5,56.0,6.3835066348840055,4.36
0.2851789422336624,3,17,7,62.0,58.0,6.79346613258001,4.46
0.262364264467491,2,18,2,61.3,61.0,6.045005314036012,4.25
0.41871033485818504,4,22,3,61.8,55.0,7.560080465021827,5.19
0.3435897043900769,3,21,4,60.6,59.0,7.050989447068045,4.8
0.5306282510621704,4,19,5,61.0,56.0,8.072779333169498,5.74
0.7371640659767197,4,19,3,61.2,56.0,8.90354343566472,6.62
0.6981347220709844,3,19,4,62.3,59.0,8.797699580118923,6.42
0.262364264467491,4,19,4,61.9,56.0,6.655440350367647,4.34
0.4054651081081644,3,22,2,61.3,60.0,7.154615356913663,5.15
0.7561219797213337,3,19,1,60.0,61.0,8.41604600941128,6.78
0.4637340162321401,4,19,5,61.0,57.0,7.664815785285735,5.44
0.832909122935104,1,16,1,62.9,56.0,8.54188580400661,6.9
0.37156355643248307,2,19,1,59.7,61.0,6.639875833826536,4.95
0.5481214085096876,4,21,4,62.3,56.0,8.10530751550515,5.8
0.3435897043900769,4,22,5,62.3,55.0,7.16703787691222,4.76
0.27002713721306015,1,19,2,63.6,57.0,6.386879319362645,4.33
0.9242589015233319,1,18,3,63.3,57.0,9.252345666121213,7.32
0.2776317365982795,4,19,5,61.4,55.0,6.594413459749778,4.4
0.8153648132841945,4,19,1,60.9,55.0,8.707317560273212,7.05
0.6981347220709844,1,19,2,63.9,57.0,8.431417414394833,6.3
0.6418538861723948,2,19,1,63.1,59.0,8.117908942383155,6.11
0.5653138090500605,3,22,1,58.8,57.0,7.903596289614301,6.03
0.4054651081081644,4,19,2,61.7,57.0,7.121252453244542,5.06
0.5306282510621704,3,16,3,61.2,60.0,7.57095858316901,5.73
0.7929925155296614,4,18,4,60.7,57.0,8.82981174915805,6.86
0.6931471805599453,2,19,5,62.3,58.0,8.926517509850122,6.39
0.2776317365982795,3,18,3,60.5,59.0,6.47543271670409,4.43
1.1019400787607843,0,18,1,66.7,56.0,9.284798282894192,7.8
0.6981347220709844,1,16,3,62.8,58.0,8.204124932574041,6.3
0.3001045924503381,3,20,3,61.5,59.0,6.561030665896573,4.53
0.9631743177730056,3,20,2,60.1,58.0,9.370245889485805,7.63
0.29266961396282,4,19,3,61.1,55.0,6.641182169740591,4.55
0.7884573603642702,4,17,2,62.2,57.0,8.382289428951436,6.8
0.2468600779315258,2,22,5,62.2,52.0,6.656726524178391,4.21
0.3435897043900769,3,20,5,60.3,58.0,7.084226422097916,4.83
0.4574248470388754,3,21,4,60.7,58.0,7.652545692693921,5.41
0.4252677354043441,3,21,3,58.5,61.0,7.554334823725748,5.33
0.3852624007906449,4,17,3,62.1,54.0,6.785587645007929,4.98
0.4054651081081644,3,22,3,61.1,58.0,7.520776415062797,5.12
0.3646431135879093,1,22,3,60.6,64.0,7.122059881629142,4.97
0.5364933705145685,4,22,1,62.3,56.0,7.790282380703483,5.68
0.262364264467491,4,19,6,62.3,54.0,6.672032945461067,4.31
0.3920420877760237,1,19,4,58.6,62.0,7.090076835776092,5.14
0.5766133643039938,2,21,2,63.4,56.0,7.850103545175582,5.84
0.29266961396282,4,18,5,60.9,55.0,6.481577129276431,4.52
0.7419373447293773,3,18,4,61.3,58.0,8.643649615368796,6.66
0.5481214085096876,4,22,5,62.2,56.0,8.355379895253634,5.79
0.6981347220709844,1,17,1,62.6,59.0,8.249052274171293,6.34
0.6471032420585384,2,20,2,62.3,60.0,8.306472160100585,6.08
0.2776317365982795,4,18,4,61.1,56.0,6.331501849893691,4.44
0.7371640659767197,4,20,5,62.1,56.0,9.234740258799718,6.55
0.6981347220709844,2,22,1,61.4,60.0,8.426173793029069,6.33
1.1019400787607843,1,17,3,63.8,58.0,9.625623789021686,7.82
0.9001613499442714,3,19,1,59.5,59.0,8.978660489639687,7.34
0.5364933705145685,2,17,6,63.0,58.0,7.843848638152472,5.66
0.27002713721306015,2,21,5,61.5,55.0,6.566672429803241,4.37
0.6830968447064438,1,20,2,56.8,64.0,8.34924780056679,6.68
0.8109302162163288,1,20,3,63.9,58.0,8.77043908654689,6.76
0.33647223662121295,4,19,7,62.2,55.0,7.195937226475569,4.73
0.5306282510621704,1,17,2,63.6,55.0,7.59890045687141,5.62
0.33647223662121295,2,21,2,62.2,56.0,6.543911845564792,4.71
0.412109650826833,4,22,2,61.7,55.0,7.358830898342354,5.11
0.7514160886839212,4,19,3,62.0,56.0,8.802823159741887,6.64
0.2851789422336624,4,19,5,61.3,56.0,6.594413459749778,4.46
0.3074846997479606,4,18,2,61.4,56.0,6.529418838262226,4.56
0.2151113796169455,2,20,2,60.9,61.0,6.003887067106539,4.02
0.6981347220709844,3,19,7,61.3,58.0,8.902863672196222,6.48
0.7275486072772778,4,18,2,61.0,56.0,8.572060092857077,6.6
0.7929925155296614,3,18,1,60.9,61.0,8.560061091643414,6.88
0.262364264467491,1,18,5,63.6,56.0,6.655440350367647,4.29
0.3784364357202451,4,18,7,62.2,55.0,7.280008252884188,4.94
0.2776317365982795,3,18,4,62.4,58.0,6.331501849893691,4.35
0.2851789422336624,2,20,1,63.0,58.0,6.075346031088684,4.4
0.262364264467491,3,18,5,60.8,60.0,6.406879986069314,4.29
0.412109650826833,2,21,2,62.8,56.0,7.271703706887368,5.07
0.6981347220709844,3,20,3,61.1,59.0,8.7157161275482,6.44
1.0402767116551463,2,17,4,61.9,57.0,9.516942329280475,7.85
0.6575200029167941,1,19,1,64.5,56.3,8.139148678884066,6.08
0.4510756193602166,2,19,4,59.3,56.0,7.407924322559599,5.38
0.29266961396282,4,21,3,62.6,57.0,6.61472560020376,4.45
0.2776317365982795,3,20,2,60.7,62.0,6.459904454377535,4.43
0.6981347220709844,2,19,4,62.2,53.0,8.796943893541737,6.48
0.9202827531436926,2,18,2,61.7,61.0,9.129021850798594,7.3
1.1249295969854831,4,18,2,61.7,58.0,9.768240403128102,8.13
0.7030975114131134,2,19,1,61.6,61.0,8.36450810375059,6.46
0.412109650826833,2,22,4,61.0,57.0,7.471363088187097,5.15
0.6981347220709844,4,19,3,61.0,56.0,8.832879460277615,6.46
0.2851789422336624,4,21,4,62.3,53.8,6.648984550024776,4.42
0.9202827531436926,2,17,2,62.6,60.0,9.063926353520646,7.27
0.8064758658669484,2,17,2,60.4,58.0,8.604654467186231,6.95
0.412109650826833,3,21,1,62.0,57.0,7.095064377287131,5.13
0.9202827531436926,4,21,1,62.7,55.0,8.89192414015454,7.27
1.0986122886681098,0,18,1,65.3,55.0,9.282940064390527,7.88
0.3435897043900769,3,21,2,61.8,60.0,6.807934943699926,4.78
0.20701416938432615,2,18,5,62.4,55.0,6.068425588244111,3.91
0.8241754429663494,4,17,1,62.5,59.0,8.651724084373843,6.88
0.23901690047049992,4,18,4,62.2,56.0,6.1092475827643655,4.12
0.262364264467491,4,20,7,59.8,58.0,6.773080375655535,4.37
0.7654678421395714,3,19,4,63.0,60.0,8.858368636308018,6.68
0.5423242908253617,4,16,3,61.4,57.0,7.649692623711514,5.76
0.6981347220709844,1,19,1,61.1,62.0,8.28121766128665,6.38
0.9555114450274363,3,20,1,61.8,57.0,8.83927669058535,7.51
0.5364933705145685,4,20,1,61.8,57.0,7.889084407035514,5.69
0.33647223662121295,2,20,4,62.2,57.6,6.993932975223189,4.74
0.27002713721306015,4,18,7,62.1,54.0,6.953684210870537,4.37
0.7275486072772778,4,18,3,61.8,56.0,8.538758969330798,6.52
0.2851789422336624,4,20,3,61.1,56.0,6.690842277418564,4.47
0.27002713721306015,4,19,3,62.1,55.0,6.359573868672378,4.35
0.262364264467491,3,19,4,62.5,59.0,6.669498089857879,4.32
0.6729444732424258,0,18,0,64.3,59.0,7.461640392208575,6.38
0.2776317365982795,4,21,0,60.7,57.0,6.19644412779452,4.45
0.3987761199573678,2,20,2,62.5,57.0,7.018401799069201,4.99
0.708035793053696,3,19,4,62.2,57.0,8.803874763534434,6.47
0.9820784724121582,2,16,2,62.3,59.0,8.976135873302548,7.59
0.9820784724121582,3,17,4,61.1,58.0,9.34145634983372,7.69
0.5306282510621704,2,18,2,63.3,58.0,7.6251071482389,5.61
0.9162907318741551,2,21,2,59.4,59.0,9.33485624667375,7.42
0.2468600779315258,2,19,3,61.3,57.0,6.20050917404269,4.21
0.262364264467491,1,19,3,63.1,57.0,6.267200548541362,4.24
0.44468582126144574,4,19,5,61.6,56.0,7.641084249174914,5.32
0.27002713721306015,4,22,4,60.6,57.0,6.570882962339584,4.36
0.262364264467491,3,21,3,62.0,60.0,6.739336627357174,4.26
