depth,table,x,cut_enc,color_enc,clarity_enc,log_price,log_carat
62.2,54.0,5.18,4,19,2,7.20934025660291,-0.6539264674066639
60.5,57.0,6.23,3,20,1,8.21716859576607,-0.10536051565782628
61.1,56.0,4.44,4,22,4,6.561030665896573,-1.1394342831883648
63.7,55.0,5.05,2,22,3,7.377133712833954,-0.6733445532637656
62.3,59.0,6.06,3,20,1,7.959625305098115,-0.1743533871447778
62.3,55.0,7.39,4,18,1,8.812248018197431,0.44468582126144574
62.6,57.0,3.93,4,20,5,6.313548046277095,-1.4271163556401458
62.2,58.0,4.54,3,19,5,6.931471805599453,-1.0498221244986778
60.0,58.0,4.62,3,22,1,6.535241271013659,-1.0216512475319814
59.8,58.0,4.79,3,19,7,7.195187320178709,-0.916290731874155
62.3,57.0,7.32,2,16,2,8.88723835429314,0.41871033485818504
62.1,56.0,4.03,2,17,5,6.214608098422191,-1.3862943611198906
61.6,60.0,6.49,2,20,4,8.998384010052538,0.03922071315328133
61.2,56.0,5.89,4,20,4,7.949797216161852,-0.31471074483970024
61.5,59.0,6.56,2,18,1,8.301273485191347,0.10436001532424286
62.0,61.0,4.71,3,21,2,6.782192056006791,-0.916290731874155
61.3,57.0,4.12,4,21,5,6.597145701886651,-1.3470736479666092
61.8,59.0,4.55,3,19,2,6.285998094508865,-1.0216512475319814
62.0,54.0,5.31,2,20,3,7.400620577371135,-0.5621189181535413
61.3,56.0,5.96,4,18,7,8.305484017727691,-0.23572233352106983
62.9,56.0,4.48,4,21,2,6.639875833826536,-1.0788096613719298
60.0,59.0,6.23,3,18,3,8.19671240721307,-0.10536051565782628
60.4,60.0,6.23,2,20,2,8.281470857895167,-0.10536051565782628
59.8,57.0,4.4,4,22,1,6.1675164908883415,-1.1394342831883648
63.6,54.0,4.34,1,22,1,6.385194398997726,-1.171182981502945
60.7,61.0,4.58,3,19,4,6.80903930604298,-1.0498221244986778
61.9,55.0,5.76,4,21,1,7.7823903355874595,-0.3285040669720361
60.1,56.0,5.91,4,21,2,7.886457270977689,-0.31471074483970024
61.9,57.0,4.3,4,18,2,6.1092475827643655,-1.2039728043259361
62.6,55.0,5.72,4,21,1,8.048468743668883,-0.2876820724517809
63.6,57.0,6.3,1,17,3,8.194229304819817,0.009950330853168092
60.6,56.0,5.33,2,21,5,7.823645930834952,-0.5978370007556204
62.0,55.0,4.25,4,21,3,6.489204931325317,-1.2039728043259361
59.1,61.0,8.08,3,19,1,9.348884181424243,0.688134638736401
61.8,54.1,5.1,4,22,5,7.878155336503324,-0.6931471805599453
62.2,57.0,4.64,4,19,3,6.725033642166843,-0.9942522733438669
61.1,56.0,4.45,4,20,6,6.966967138613983,-1.1394342831883648
61.0,55.0,5.78,4,20,2,7.979338895262328,-0.3285040669720361
60.1,59.0,6.74,3,17,3,8.576593534697684,0.08617769624105241
58.8,61.0,6.28,2,19,3,8.389359819906353,-0.10536051565782628
60.8,61.0,4.3,3,18,2,6.29156913955832,-1.2039728043259361
61.6,60.0,6.75,3,18,1,8.482601746646619,0.13976194237515863
61.4,58.0,4.42,3,22,2,6.628041376179533,-1.1394342831883648
62.9,58.0,5.04,3,18,2,7.066466970136958,-0.6931471805599453
62.0,55.0,4.74,3,21,2,6.851184927493743,-0.916290731874155
62.1,53.5,5.08,4,19,6,7.5310163320779155,-0.6931471805599453
60.7,58.0,6.06,3,21,2,8.155362120328135,-0.18632957819149348
60.2,60.0,6.94,3,22,1,8.343553835005117,0.1823215567939546
61.4,58.0,4.77,2,21,2,6.532334292222349,-0.916290731874155
61.9,56.0,4.44,4,18,4,6.361302477572996,-1.1086626245216111
62.4,57.0,4.32,4,18,5,6.437751649736401,-1.171182981502945
62.9,58.0,4.71,2,21,2,6.561030665896573,-0.916290731874155
61.3,56.0,4.73,4,20,5,6.895682697747868,-0.941608539858445
61.4,56.0,4.38,4,19,5,6.810142450115136,-1.171182981502945
61.5,56.0,4.36,4,18,2,6.3818160174060985,-1.171182981502945
62.0,58.0,4.46,3,17,7,6.792344427470809,-1.1086626245216111
61.3,61.0,4.25,2,18,2,6.042632833682381,-1.2039728043259361
61.8,55.0,5.19,4,22,3,7.5595594960077,-0.6539264674066639
60.6,59.0,4.8,3,21,4,7.050122520269059,-0.8915981192837836
61.0,56.0,5.74,4,19,5,8.07246736935477,-0.35667494393873245
61.2,56.0,6.62,4,19,3,8.903407519932264,0.08617769624105241
62.3,59.0,6.42,3,19,4,8.797548488481558,0.009950330853168092
61.9,56.0,4.34,4,19,4,6.654152520183219,-1.2039728043259361
61.3,60.0,5.15,3,22,2,7.153833801578843,-0.6931471805599453
60.0,61.0,6.78,3,19,1,8.415824697027949,0.12221763272424911
61.0,57.0,5.44,4,19,5,7.664346632098617,-0.527632742082372
62.9,56.0,6.9,1,16,1,8.541690663016626,0.26236426446749106
59.7,61.0,4.95,2,19,1,6.638567789166521,-0.7985076962177716
62.3,56.0,5.8,4,21,4,8.105005537547246,-0.31471074483970024
62.3,55.0,4.76,4,22,5,7.166265974133638,-0.8915981192837836
63.6,57.0,4.33,1,19,2,6.385194398997726,-1.171182981502945
63.3,57.0,7.32,1,18,3,9.252249775053393,0.41871033485818504
61.4,55.0,4.4,4,19,5,6.593044534142437,-1.1394342831883648
60.9,55.0,7.05,4,19,1,8.707152175339404,0.23111172096338664
63.9,57.0,6.3,1,19,2,8.431199478249262,0.009950330853168092
63.1,59.0,6.11,2,19,1,8.117610746466228,-0.10536051565782628
58.8,57.0,6.03,3,22,1,7.903226808730733,-0.2744368457017603
61.7,57.0,5.06,4,19,2,7.1204443723924875,-0.6931471805599453
61.2,60.0,5.73,3,16,3,7.570443252057374,-0.35667494393873245
60.7,57.0,6.86,4,18,4,8.829665432675236,0.1906203596086497
62.3,58.0,6.39,2,19,5,8.926384681265215,0.0
60.5,59.0,4.43,3,18,3,6.473890696352274,-1.1394342831883648
62.8,58.0,6.3,1,16,3,8.203851372183879,0.009950330853168092
61.5,59.0,4.53,3,20,3,6.559615237493242,-1.0498221244986778
60.1,58.0,7.63,3,20,2,9.370160663423624,0.4824261492442928
61.1,55.0,4.55,4,19,3,6.639875833826536,-1.0788096613719298
62.2,57.0,6.8,4,17,2,8.38206051742474,0.1823215567939546
62.2,52.0,4.21,2,22,5,6.655440350367647,-1.2729656758128873
60.3,58.0,4.83,3,20,5,7.083387847625295,-0.8915981192837836
60.7,58.0,5.41,3,21,4,7.652070746116482,-0.5447271754416722
62.1,54.0,4.98,4,17,3,6.784457062637643,-0.7550225842780328
61.1,58.0,5.12,3,22,3,7.520234556474628,-0.6931471805599453
62.3,56.0,5.68,4,22,1,7.789868559054706,-0.342490308946776
62.3,54.0,4.31,4,19,6,6.670766320845874,-1.2039728043259361
63.4,56.0,5.84,2,21,2,7.84971375760487,-0.2484613592984996
60.9,55.0,4.52,4,18,5,6.480044561926653,-1.0788096613719298
61.3,58.0,6.66,3,18,4,8.643473357326567,0.09531017980432493
62.2,56.0,5.79,4,22,5,8.355144739461839,-0.31471074483970024
62.6,59.0,6.34,1,17,1,8.248790733696413,0.009950330853168092
62.3,60.0,6.08,2,20,2,8.30622521603216,-0.09431067947124129
61.1,56.0,4.44,4,18,4,6.329720905522696,-1.1394342831883648
62.1,56.0,6.55,4,20,5,9.234642664499148,0.08617769624105241
61.4,60.0,6.33,2,22,1,8.425954710981966,0.009950330853168092
59.5,59.0,7.34,3,19,1,8.97853441008332,0.37843643572024505
63.0,58.0,5.66,2,17,6,7.8434564043761155,-0.342490308946776
61.5,55.0,4.37,2,21,5,6.565264970035361,-1.171182981502945
63.9,58.0,6.76,1,20,3,8.770283819098399,0.22314355131420976
62.2,55.0,4.73,4,19,7,7.195187320178709,-0.916290731874155
63.6,55.0,5.62,1,17,2,7.598399329323964,-0.35667494393873245
62.2,56.0,4.71,2,21,2,6.542471960506805,-0.916290731874155
61.7,55.0,5.11,4,22,2,7.358193752733032,-0.6733445532637656
62.0,56.0,6.64,4,19,3,8.802672840312818,0.11332868530700327
61.3,56.0,4.46,4,19,5,6.593044534142437,-1.1086626245216111
61.4,56.0,4.56,4,18,2,6.52795791762255,-1.0216512475319814
60.9,61.0,4.02,2,20,2,6.0014148779611505,-1.4271163556401458
61.3,58.0,6.48,3,19,7,8.902727664035522,0.009950330853168092
61.0,56.0,6.6,4,18,2,8.571870752706934,0.06765864847381486
60.9,61.0,6.88,3,18,1,8.559869465696673,0.1906203596086497
63.6,56.0,4.29,1,18,5,6.654152520183219,-1.2039728043259361
62.2,55.0,4.94,4,18,7,7.27931883541462,-0.7765287894989963
62.4,58.0,4.35,3,18,4,6.329720905522696,-1.1394342831883648
63.0,58.0,4.4,2,20,1,6.073044534100405,-1.1086626245216111
60.8,60.0,4.29,3,18,5,6.405228458030842,-1.2039728043259361
62.8,56.0,5.07,2,21,2,7.271008538280992,-0.6733445532637656
61.1,59.0,6.44,3,20,3,8.715552125907816,0.009950330853168092
64.5,56.3,6.08,1,19,1,8.138856750696325,-0.07257069283483537
59.3,56.0,5.38,2,19,4,7.4073177104694174,-0.5621189181535413
62.6,57.0,4.45,4,21,3,6.61338421837956,-1.0788096613719298
60.7,62.0,4.43,3,20,2,6.45833828334479,-1.1394342831883648
62.2,53.0,6.48,2,19,4,8.796792687674662,0.009950330853168092
61.7,61.0,7.3,2,18,2,9.128913373280454,0.412109650826833
61.6,61.0,6.46,2,19,1,8.364275084991524,0.01980262729617973
61.0,57.0,5.15,2,22,4,7.470793774195062,-0.6733445532637656
61.0,56.0,6.46,4,19,3,8.832733591996416,0.009950330853168092
62.3,53.8,4.42,4,21,4,6.647688373563329,-1.1086626245216111
62.6,60.0,7.27,2,17,2,9.063810579280286,0.412109650826833
60.4,58.0,6.95,2,17,2,8.604471199523298,0.2151113796169455
62.0,57.0,5.13,3,21,1,7.094234845924755,-0.6733445532637656
62.7,55.0,7.27,4,21,1,8.891786635857315,0.412109650826833
61.8,60.0,4.78,3,21,2,6.806829360392176,-0.8915981192837836
62.4,55.0,3.91,2,18,5,6.066108090103747,-1.4696759700589417
62.5,59.0,6.88,4,17,1,8.651549243915316,0.2468600779315258
62.2,56.0,4.12,4,18,4,6.1070228877422545,-1.3093333199837622
59.8,58.0,4.37,4,20,7,6.771935555839602,-1.2039728043259361
63.0,60.0,6.68,3,19,4,8.858226439365012,0.13976194237515863
61.4,57.0,5.76,4,16,3,7.649216319820633,-0.3285040669720361
61.1,62.0,6.38,1,19,1,8.280964400553373,0.009950330853168092
61.8,57.0,7.51,3,20,1,8.839131752546109,0.47000362924573563
61.8,57.0,5.69,4,20,1,7.888709524182015,-0.342490308946776
62.2,57.6,4.74,2,20,4,6.9930151229329605,-0.916290731874155
62.1,54.0,4.37,4,18,7,6.952728644624869,-1.171182981502945
61.8,56.0,6.52,4,18,3,8.53856321715243,0.06765864847381486
61.1,56.0,4.47,4,20,3,6.6895992691789665,-1.1086626245216111
62.1,55.0,4.35,4,19,3,6.3578422665081,-1.171182981502945
62.5,59.0,4.32,3,19,4,6.668228248417403,-1.2039728043259361
64.3,59.0,6.38,0,18,0,7.461065514354283,-0.040821994520255166
60.7,57.0,4.45,4,21,0,6.194405391104672,-1.1394342831883648
62.5,57.0,4.99,2,20,2,7.017506142941256,-0.7133498878774648
62.2,57.0,6.47,3,19,4,8.803724602110622,0.02955880224154443
62.3,59.0,7.59,2,16,2,8.976009475021396,0.5128236264286637
61.1,58.0,7.69,3,17,4,9.341368634382587,0.5128236264286637
63.3,58.0,5.61,2,18,2,7.6246189861593985,-0.35667494393873245
59.4,59.0,7.42,2,21,2,9.334767950351235,0.4054651081081644
61.3,57.0,4.21,2,19,3,6.198478716492308,-1.2729656758128873
63.1,57.0,4.24,1,19,3,6.26530121273771,-1.2039728043259361
61.6,56.0,5.32,4,19,5,7.640603826393634,-0.579818495252942
60.6,57.0,4.36,4,22,4,6.569481420414296,-1.171182981502945
62.0,60.0,4.26,3,21,3,6.738152494595957,-1.2039728043259361
62.6,61.0,6.7,2,18,1,8.579980179515003,0.1906203596086497
62.2,58.0,6.78,3,18,2,8.656259239539235,0.1823215567939546
64.5,60.0,6.16,0,19,0,7.63433723562832,-0.040821994520255166
61.8,54.0,5.24,4,20,4,7.452402451223638,-0.616186139423817
61.4,55.0,4.47,4,20,6,6.794586580876499,-1.1086626245216111
61.3,60.0,6.59,3,16,1,8.226840890408578,0.058268908123975824
63.0,55.0,6.55,4,19,3,8.775085935057266,0.06765864847381486
62.5,55.0,4.38,4,19,2,6.416732282512326,-1.1394342831883648
63.1,59.0,6.49,2,21,4,8.983314293397749,0.04879016416943204
62.5,59.0,5.75,3,17,4,7.697121317282625,-0.342490308946776
61.2,62.0,6.63,3,18,1,8.388222810119277,0.08617769624105241
64.7,58.0,6.24,0,19,1,8.172164452111904,0.0
62.2,57.0,6.5,2,18,3,8.54772239645106,0.0769610411361284
62.6,60.0,6.11,3,20,2,8.319473692442186,-0.10536051565782628
59.9,54.0,6.0,3,21,2,7.9229859587111955,-0.2876820724517809
62.9,57.0,3.92,2,22,3,5.996452088619021,-1.4696759700589417
61.5,55.0,4.39,4,19,3,6.363028103540465,-1.1394342831883648
62.0,55.0,4.46,4,19,3,6.39024066706535,-1.0788096613719298
62.9,58.0,4.29,3,22,1,6.352629396319567,-1.2039728043259361
61.6,56.0,5.24,4,19,3,7.382124365737512,-0.6348782724359695
62.9,62.0,5.63,3,19,3,7.843848638152472,-0.35667494393873245
62.2,57.0,5.8,4,19,2,7.806289289267033,-0.2876820724517809
61.6,54.0,4.37,4,22,5,6.733401891837359,-1.171182981502945
63.2,56.0,4.36,2,16,2,6.173786103901937,-1.1394342831883648
60.4,59.0,6.24,3,21,1,8.257385655730436,-0.10536051565782628
61.2,60.0,4.68,3,19,3,6.668228248417403,-0.941608539858445
60.3,59.0,5.79,3,19,3,7.8009820712577405,-0.342490308946776
61.9,56.0,4.39,4,19,7,6.895682697747868,-1.171182981502945
62.1,58.0,5.64,3,20,2,7.825644732219989,-0.35667494393873245
61.5,58.0,4.28,4,17,4,6.118097198041348,-1.2039728043259361
61.5,58.0,6.98,3,22,1,8.859931469616097,0.26236426446749106
61.7,56.0,5.73,4,21,3,7.904334842085095,-0.342490308946776
59.3,59.0,7.18,3,18,2,8.9085593751449,0.2700271372130602
61.6,56.0,6.43,4,20,5,9.101752431559284,0.009950330853168092
61.6,57.0,5.13,3,21,4,7.5953872788539725,-0.6733445532637656
